,med_salary,formatted_work_type
1141,11177,Full-time
1142,3680,Part-time
1143,2400,Full-time
1144,5761,Full-time
1145,12960,Full-time
1146,11458,Full-time
1147,9760,Part-time
1148,4099,Full-time
1149,11949,Full-time
1150,11949,Full-time
1151,5120,Full-time
1152,3200,Full-time
1153,2560,Full-time
1154,8800,Contract
1155,5833,Full-time
1156,3750,Full-time
1157,4000,Full-time
1158,2880,Full-time
1159,2720,Full-time
1160,5920,Full-time
1161,4640,Full-time
1162,8800,Full-time
1163,4791,Full-time
1164,2880,Full-time
1165,5938,Full-time
1166,5655,Full-time
1167,10920,Contract
1168,4300,Full-time
1169,5833,Full-time
1170,4583,Full-time
1171,2240,Full-time
1172,9760,Part-time
1173,6240,Full-time
1174,10720,Part-time
1175,9166,Full-time
1176,3040,Other
1177,18750,Part-time
1178,5938,Full-time
1179,7500,Full-time
1180,11949,Full-time
1181,4320,Contract
1182,5625,Full-time
1183,2080,Full-time
1184,7708,Full-time
1185,3680,Full-time
1186,15454,Full-time
1187,6400,Contract
1188,9900,Full-time
1189,3520,Full-time
1190,4320,Full-time
1191,4000,Full-time
1192,6250,Full-time
1193,2400,Full-time
1194,4640,Full-time
1195,9120,Full-time
1196,2400,Full-time
1197,5120,Full-time
1198,15738,Full-time
1199,18750,Full-time
1200,5250,Full-time
1201,2720,Full-time
1202,8320,Other
1203,12916,Full-time
1204,6250,Full-time
1205,6666,Full-time
1206,2080,Temporary
1207,9166,Full-time
1208,4791,Full-time
1209,12500,Full-time
1210,4791,Full-time
1211,4791,Full-time
1212,4791,Full-time
1213,4000,Contract
1214,7083,Full-time
1215,6250,Full-time
1216,916,Full-time
1217,10720,Contract
1218,3040,Full-time
1219,3200,Full-time
1220,8750,Full-time
1221,2400,Full-time
1222,2135,Full-time
1223,2400,Full-time
1224,4480,Full-time
1225,12500,Full-time
1226,3200,Full-time
1227,3200,Full-time
1228,5833,Full-time
1229,2400,Full-time
1230,2880,Full-time
1231,15040,Part-time
1232,12255,Full-time
1233,9166,Full-time
1234,5938,Full-time
1235,5938,Full-time
1236,11949,Full-time
1237,5416,Full-time
1238,9600,Contract
1239,10625,Full-time
1240,7200,Full-time
1241,5250,Full-time
1242,7040,Full-time
1243,6250,Full-time
1244,4583,Full-time
1245,4000,Part-time
1246,4791,Full-time
1247,11862,Full-time
1248,4791,Full-time
1249,4791,Full-time
1250,2880,Full-time
1251,4791,Full-time
1252,13299,Full-time
1253,4791,Full-time
1254,5250,Full-time
1255,7360,Full-time
1256,6250,Full-time
1257,9120,Contract
1258,7500,Full-time
1259,916,Full-time
1260,3040,Full-time
1261,4320,Full-time
1262,4687,Full-time
1263,3840,Full-time
1264,5600,Contract
1265,9375,Full-time
1266,16287,Full-time
1267,3040,Full-time
1268,3520,Full-time
1269,11177,Full-time
1270,11177,Full-time
1271,11177,Full-time
1272,10838,Full-time
1273,3680,Full-time
1274,4000,Part-time
1275,17708,Full-time
1276,9416,Full-time
1277,9166,Full-time
1278,4160,Full-time
1279,4960,Full-time
1280,8000,Contract
1281,3360,Full-time
1282,8958,Full-time
1283,20833,Full-time
1284,5000,Full-time
1285,9600,Contract
1286,11040,Contract
1287,3840,Full-time
1288,15454,Full-time
1289,8766,Full-time
1290,15454,Full-time
1291,2080,Full-time
1292,6720,Full-time
1293,2880,Full-time
1294,4791,Full-time
1295,4791,Full-time
1296,6466,Full-time
1297,8160,Contract
1298,4791,Full-time
1299,4791,Full-time
1300,4791,Full-time
1301,10437,Full-time
1302,4320,Contract
1303,4160,Temporary
1304,7200,Full-time
1305,4000,Part-time
1306,3840,Part-time
1307,8125,Full-time
1308,2240,Part-time
1309,8166,Full-time
1310,9583,Full-time
1311,7680,Contract
1312,11840,Full-time
1313,17083,Full-time
1314,4320,Full-time
1315,4875,Full-time
1316,10166,Full-time
1317,4166,Full-time
1318,12160,Full-time
1319,6970,Full-time
1320,4640,Full-time
1321,9166,Full-time
1322,7200,Full-time
1323,11949,Full-time
1324,3840,Full-time
1325,12083,Full-time
1326,6720,Full-time
1327,3040,Full-time
1328,10090,Full-time
1329,3520,Part-time
1330,8750,Full-time
1331,4791,Full-time
1332,4791,Full-time
1333,4791,Full-time
1334,6250,Full-time
1335,4166,Full-time
1336,9920,Contract
1337,3840,Full-time
1338,9,Full-time
1339,16287,Full-time
1340,7200,Full-time
1341,7200,Full-time
1342,7200,Full-time
1343,7200,Full-time
1344,7200,Full-time
1345,11545,Full-time
1346,4875,Full-time
1347,12500,Full-time
1348,5600,Temporary
1349,6458,Full-time
1350,12691,Full-time
1351,7837,Full-time
1352,4833,Full-time
1353,14841,Full-time
1354,14925,Full-time
1355,16979,Full-time
1356,9154,Full-time
1357,11562,Full-time
1358,13675,Full-time
1359,9375,Full-time
1360,6,Full-time
1361,10000,Full-time
1362,3333,Full-time
1363,2080,Part-time
1364,6458,Full-time
1365,14583,Full-time
1366,3,Contract
1367,3360,Full-time
1368,2400,Part-time
1369,5966,Full-time
1370,11520,Contract
1371,3333,Full-time
1372,3520,Temporary
1373,5416,Full-time
1374,7200,Contract
1375,4791,Full-time
1376,12500,Full-time
1377,4791,Full-time
1378,4791,Full-time
1379,4166,Full-time
1380,4791,Full-time
1381,4791,Full-time
1382,6975,Full-time
1383,8625,Full-time
